gene	abs_delta_pool	instability_score	pooled_rank	instability_rank	rank_displacement	masked
RvY_01613-1	0.212830858131638	1.65712894377364	8777	348	8429	FALSE
RvY_01294-1	0.0316207027633428	1.65670727608539	14191	349	13842	TRUE
RvY_14752-1	0.283458233391944	1.65638524140885	7101	350	6751	FALSE
RvY_14270	0.635065920520492	1.65553149391461	1993	351	1642	FALSE
RvY_10151-1	0.574985377986193	1.65526130844455	2508	352	2156	FALSE
RvY_18332-1	0.081966351626356	1.65438829456595	12533	353	12180	TRUE
RvY_00866	0.455356404761758	1.65274472861226	3925	354	3571	FALSE
RvY_16776-1	0.0947105401007384	1.65262142760905	12111	355	11756	TRUE
RvY_18582-1	0.321736968605819	1.65193427706167	6247	356	5891	FALSE
RvY_01999-1	1.28253597784948	1.65130012285031	140	357	-217	FALSE
RvY_11069-1	0.360079936061833	1.64939055485249	5472	358	5114	FALSE
RvY_08097	0.96045444468623	1.64825898199985	544	359	185	FALSE
RvY_00436-1	0.234213773766413	1.64614827140045	8246	360	7886	FALSE
RvY_09739-1	0.0217430254527606	1.64478908882158	14523	361	14162	TRUE
RvY_15901-1	0.896516093205278	1.64322923132461	720	362	358	FALSE
RvY_04207-1	0.836949134666561	1.6427605390065	920	363	557	FALSE
RvY_10027-1	0.288238888873923	1.64241922030445	7006	364	6642	FALSE
RvY_14617	0.781179143291797	1.6415682747195	1160	365	795	FALSE
RvY_15933-1	0.888921272826655	1.64108399431336	742	366	376	FALSE
RvY_16464	0.396044584169836	1.63957002419897	4834	367	4467	FALSE
RvY_11738-1	0.913091867128959	1.6383752564109	659	368	291	FALSE
