gene	n_timepoints	delta_pool	hetero_gap	discordance	instability_score	var_proxy
RvY_06283-1	8	-0.546054010389868	0.70971702556317	0	0.70971702556317	0.0836237630737609
RvY_06284-1	8	0.00889392744677838	0.445237817793195	0.5	0.667856726689793	0.0281375624188445
RvY_06286	8	-0.0981996955635867	0.586601865103339	0.5	0.879902797655008	0.0489991870605276
RvY_06287	8	-0.35942853788593	1.31354450176462	0.125	1.47773756448519	0.216699414004712
RvY_06288	8	0.360328135497532	0.956486076430751	0.125	1.0760468359846	0.105152985422117
RvY_06290-1	8	-0.0464152237314088	0.322518065504209	0.25	0.403147581880261	0.013895107192936
RvY_06291-1	8	-0.0443630497199891	0.805967507643369	0.375	1.10820532300963	0.10086056399951
RvY_06292-1	8	-0.0998747735710403	0.981706301797108	0.5	1.47255945269566	0.0910290865766926
RvY_06293-1	8	0.0379284861938977	0.379733417906378	0.375	0.522133449621269	0.0212534907529524
RvY_06296	8	-0.536725444875492	1.12730484832314	0.25	1.40913106040393	0.177480753299453
RvY_06297-1	8	-0.299454984251457	0.569590246848832	0	0.569590246848832	0.0312783873939266
RvY_06298-1	8	0.0497594259231488	0.680739088098506	0.5	1.02110863214776	0.0595935645582975
RvY_06299-1	8	0.15051967703174	0.289558536610088	0.125	0.325753353686349	0.00998052610946296
RvY_06300-1	8	-0.728376091641974	1.12071676620919	0	1.12071676620919	0.190307055865769
RvY_06301-1	8	-0.61004741388395	0.534426904359544	0	0.534426904359544	0.0404552311620985
RvY_06302-1	8	-0.418369938220516	0.304485564882079	0	0.304485564882079	0.0142506966775026
RvY_06303-1	8	-0.0557550608878212	1.32868353436212	0.25	1.66085441795265	0.179378510981409
RvY_06304-1	8	-0.398283170840321	0.833895598565979	0.125	0.938132548386726	0.0762857624769139
RvY_06305-1	8	-0.546157464116226	2.2136042993906	0.25	2.76700537423825	0.607808378268065
RvY_06306-1	8	-0.53116436361962	1.40426027279376	0.125	1.57979280689298	0.242085393976486
RvY_06308-1	8	0.132279498964402	0.628713557503584	0.25	0.78589194687948	0.0474540714094783
RvY_06309	8	0.0940994047373008	0.81101177519212	0.5	1.21651766278818	0.0836727046105131
RvY_06310-1	8	-0.798846628124227	2.64839093386854	0.25	3.31048866733567	0.742089338196981
RvY_06311-1	8	-0.951863783771607	1.0468183109501	0	1.0468183109501	0.117920995697469
RvY_06312-1	8	-0.324291330129258	0.398055975494636	0	0.398055975494636	0.0131091317056222
RvY_06313-1	8	0.0564729329100285	0.226014207552196	0.25	0.282517759440245	0.00572584532302217
RvY_06314-1	8	0.117693189628627	0.525625767128428	0.25	0.657032208910535	0.0319393823177525
