gene	gene_base	protein_id	ncbi_protein_desc	match_type	delta_pool	instability_score
RvY_01540-1	NA	GAU88927.1	hypothetical protein	exact_gene	-0.0801920685543109	1.21019648459509
RvY_01552	NA	GAU88943.1	hypothetical protein	exact_gene	-0.0531212823123655	1.42654628012174
RvY_01557-1	NA	GAU88951.1	hypothetical protein	exact_gene	0.00534696330048856	1.43753368682872
RvY_01576	NA	GAU88971.1	hypothetical protein	exact_gene	0.0505608680720036	1.63755871371895
RvY_01734-1	NA	GAU89150.1	hypothetical protein	exact_gene	-0.101284295376165	2.34549675573988
RvY_01745	NA	GAU89161.1	hypothetical protein	exact_gene	0.111174144929658	1.27370139610539
RvY_01823-1	NA	GAU89251.1	hypothetical protein	exact_gene	-0.0316418576219313	1.62990276066576
RvY_01887-1	NA	GAU89328.1	hypothetical protein	exact_gene	-0.0995162232519835	1.30161496925429
RvY_02155-1	NA	GAU89625.1	hypothetical protein	exact_gene	-0.0452007898876055	1.46257249752803
RvY_02266-1	NA	GAU89755.1	hypothetical protein	exact_gene	-0.0088545372228106	1.42726867927084
RvY_02268-1	NA	GAU89757.1	hypothetical protein	exact_gene	0.0015180824415495	1.47936149056433
RvY_02391	NA	GAU89895.1	hypothetical protein	exact_gene	0.0516731909581845	1.33664005382641
RvY_02464-1	NA	GAU89980.1	hypothetical protein	exact_gene	-0.0967286320691203	1.23165672596317
RvY_02540-1	NA	GAU90068.1	hypothetical protein	exact_gene	0.0177718764544093	1.47800651616719
RvY_02577-1	NA	GAU90111.1	hypothetical protein	exact_gene	-0.00793932494116234	2.23588100438094
RvY_02623-1	NA	GAU90166.1	hypothetical protein	exact_gene	-0.00264507704131312	1.34977587341938
RvY_02699	NA	GAU90252.1	hypothetical protein	exact_gene	-0.0572907278490789	1.16724329288915
RvY_03025-1	NA	GAU90636.1	hypothetical protein	exact_gene	-0.107131922144456	1.6723098251546
RvY_03060-1	NA	GAU90678.1	hypothetical protein	exact_gene	0.0201158545334783	1.69667304089891
RvY_03151-1	NA	GAU90777.1	hypothetical protein	exact_gene	-0.0525296787981597	1.59978537167098
RvY_03207-1	NA	GAU90847.1	hypothetical protein	exact_gene	-0.0440145603736744	1.25107987280532
RvY_03303-1	NA	GAU90956.1	hypothetical protein	exact_gene	0.0917426890140369	1.9932438639271
RvY_03372-1	NA	GAU91042.1	hypothetical protein	exact_gene	-0.0265779469352943	1.18652924370778
RvY_03391-1	NA	GAU91065.1	hypothetical protein	exact_gene	-0.0689379155378367	1.29632617509808
RvY_03397-1	NA	GAU91074.1	hypothetical protein	exact_gene	-0.0895626409127042	1.18376513437625
RvY_03403-1	NA	GAU91081.1	hypothetical protein	exact_gene	0.0482389575911588	1.25136243343575
RvY_03504	NA	GAU91198.1	hypothetical protein	exact_gene	-0.11365794796006	1.40294473701595
RvY_03523-1	NA	GAU91222.1	hypothetical protein	exact_gene	-0.0546183650043339	1.14725085126521
RvY_03641-1	NA	GAU91378.1	hypothetical protein	exact_gene	0.0236235917224832	1.48459084440657
RvY_03733-1	NA	GAU91493.1	hypothetical protein	exact_gene	0.0459166101490052	1.45525791480954
RvY_03755-1	NA	GAU91517.1	hypothetical protein	exact_gene	-0.0590833068144603	1.26492049984171
RvY_03833-1	NA	GAU91608.1	hypothetical protein	exact_gene	0.0207508087139345	1.18643408664853
RvY_03876	NA	GAU91661.1	hypothetical protein	exact_gene	0.00773479415948586	1.15997939296574
RvY_03985-1	NA	GAU91795.1	hypothetical protein	exact_gene	-0.0542140591665392	1.59991376703544
RvY_04014-1	NA	GAU91834.1	hypothetical protein	exact_gene	-0.0907074493704823	1.50188623059902
RvY_04026-1	NA	GAU91847.1	hypothetical protein	exact_gene	0.00487217369355975	1.44596381688362
RvY_04048	NA	GAU91871.1	hypothetical protein	exact_gene	0.114807688856143	2.10584382792648
RvY_04319-1	NA	GAU92207.1	hypothetical protein	exact_gene	-0.0464337552040872	1.81609091192154
RvY_04392-1	NA	GAU92292.1	hypothetical protein	exact_gene	-0.0179325014006606	1.35877609044176
RvY_04400	NA	GAU92302.1	hypothetical protein	exact_gene	-0.0301556257624895	2.12208594294912
RvY_04553-1	NA	GAU92477.1	hypothetical protein	exact_gene	-0.00935676574163935	1.67472757716792
RvY_04594-1	NA	GAU92523.1	hypothetical protein	exact_gene	-0.0953044504958118	1.52648520258331
RvY_04696-1	NA	GAU92643.1	hypothetical protein	exact_gene	-0.0254736080141749	1.60556408432748
RvY_04828-1	NA	GAU92790.1	hypothetical protein	exact_gene	-0.0810666393476138	1.47982020889744
RvY_04958-1	NA	GAU92948.1	hypothetical protein	exact_gene	0.104952232539498	1.22818082953133
RvY_05124-1	NA	GAU93138.1	hypothetical protein	exact_gene	0.0387198184606339	1.35756384270016
RvY_05184-1	NA	GAU93211.1	hypothetical protein	exact_gene	-0.104369562446443	1.38868677723674
RvY_05187-1	NA	GAU93214.1	hypothetical protein	exact_gene	0.0065962612306123	1.33012419376397
RvY_05194-1	NA	GAU93221.1	hypothetical protein	exact_gene	-0.0845219730028859	1.30796331830374
RvY_05228-1	NA	GAU93262.1	hypothetical protein	exact_gene	-0.0711362039142651	1.61506249803167
RvY_05366-1	NA	GAU93421.1	hypothetical protein	exact_gene	0.00780444888091214	1.61836422392155
RvY_05373-1	NA	GAU93431.1	hypothetical protein	exact_gene	0.117294294777318	1.21332283144793
